total,g,day,month,date,year,type,location,opponent,rank,conference,wl,team_score,opp_score,ot,mov,last,streak,arena,state,abbr
593,17,Friday,January,13,2023,REG,1,Nebraska,,Big Ten,1,73,55,0,18,W,3,Mackey Arena,Indiana,IN
592,16,Sunday,January,8,2023,REG,2,Penn State,,Big Ten,1,76,63,0,13,W,2,The Palestra,Pennsylvania,PA
591,15,Thursday,January,5,2023,REG,2,Ohio State,24,Big Ten,1,71,69,0,2,W,1,Value City Arena,Ohio,OH
590,14,Monday,January,2,2023,REG,1,Rutgers,,Big Ten,0,64,65,0,-1,L,1,Mackey Arena,Indiana,IN
589,13,Thursday,December,29,2022,REG,1,Florida A&M,,SWAC,1,82,49,0,33,W,13,Mackey Arena,Indiana,IN
588,12,Wednesday,December,21,2022,REG,1,New Orleans,,Southland,1,74,53,0,21,W,12,Mackey Arena,Indiana,IN
587,11,Saturday,December,17,2022,REG,3,Davidson,,A-10,1,69,61,0,8,W,11,Gainbridge Fieldhouse,Indiana,IN
586,10,Saturday,December,10,2022,REG,2,Nebraska,,Big Ten,1,65,62,1,3,W,10,Pinnacle Bank Arena,Nebraska,NE
585,9,Wednesday,December,7,2022,REG,1,Hofstra,,CAA,1,85,66,0,19,W,9,Mackey Arena,Indiana,IN
584,8,Sunday,December,4,2022,REG,1,Minnesota,,Big Ten,1,89,70,0,19,W,8,Mackey Arena,Indiana,IN
583,7,Wednesday,November,30,2022,REG,2,Florida State,,ACC,1,79,69,0,10,W,7,Donald L. Tucker Civic Center,Florida,FL
582,6,Sunday,November,27,2022,REG,3,Duke,8,ACC,1,75,56,0,19,W,6,Moda Center,Oregon,OR
581,5,Friday,November,25,2022,REG,3,Gonzaga,6,WCC,1,84,66,0,18,W,5,Moda Center,Oregon,OR
580,4,Thursday,November,24,2022,REG,3,West Virginia,,Big 12,1,80,68,0,12,W,4,Veterans Memorial Coliseum,Oregon,OR
579,3,Tuesday,November,15,2022,REG,1,Marquette,,Big East,1,75,70,0,5,W,3,Mackey Arena,Indiana,IN
578,2,Friday,November,11,2022,REG,1,Austin Peay,,A-Sun,1,63,44,0,19,W,2,Mackey Arena,Indiana,IN
577,1,Tuesday,November,8,2022,REG,1,Milwaukee,,Horizon,1,84,53,0,31,W,1,Mackey Arena,Indiana,IN
576,37,Friday,March,25,2022,NCAA,3,Saint Peter's,,MAAC,0,64,67,0,-3,L,1,Wells Fargo Center,Pennsylvania,PA
575,36,Sunday,March,20,2022,NCAA,3,Texas,25,Big 12,1,81,71,0,10,W,2,Fiserv Forum,Wisconsin,WI
574,35,Friday,March,18,2022,NCAA,3,Yale,,Ivy,1,78,56,0,22,W,1,Fiserv Forum,Wisconsin,WI
573,34,Sunday,March,13,2022,CTOURN,3,Iowa,24,Big Ten,0,66,75,0,-9,L,1,Gainbridge Fieldhouse,Indiana,IN
572,33,Saturday,March,12,2022,CTOURN,3,Michigan State,,Big Ten,1,75,70,0,5,W,3,Gainbridge Fieldhouse,Indiana,IN
571,32,Friday,March,11,2022,CTOURN,3,Penn State,,Big Ten,1,69,61,0,8,W,2,Gainbridge Fieldhouse,Indiana,IN
570,31,Saturday,March,5,2022,REG,1,Indiana,,Big Ten,1,69,67,0,2,W,1,Mackey Arena,Indiana,IN
569,30,Tuesday,March,1,2022,REG,2,Wisconsin,10,Big Ten,0,67,70,0,-3,L,2,Kohl Center,Wisconsin,WI
568,29,Saturday,February,26,2022,REG,2,Michigan State,,Big Ten,0,65,68,0,-3,L,1,Breslin Student Events Center,Michigan,MI
567,28,Sunday,February,20,2022,REG,1,Rutgers,,Big Ten,1,84,72,0,12,W,3,Mackey Arena,Indiana,IN
566,27,Wednesday,February,16,2022,REG,2,Northwestern,,Big Ten,1,70,64,0,6,W,2,Welsh-Ryan Arena,Illinois,IL
565,26,Sunday,February,13,2022,REG,1,Maryland,,Big Ten,1,62,61,0,1,W,1,Mackey Arena,Indiana,IN
564,25,Thursday,February,10,2022,REG,2,Michigan,,Big Ten,0,58,82,0,-24,L,1,Crisler Arena,Michigan,MI
563,24,Tuesday,February,8,2022,REG,1,Illinois,13,Big Ten,1,84,68,0,16,W,6,Mackey Arena,Indiana,IN
562,23,Saturday,February,5,2022,REG,1,Michigan,,Big Ten,1,82,76,0,6,W,5,Mackey Arena,Indiana,IN
561,22,Wednesday,February,2,2022,REG,2,Minnesota,,Big Ten,1,88,73,0,15,W,4,Williams Arena,Minnesota,MN
560,21,Sunday,January,30,2022,REG,1,Ohio State,16,Big Ten,1,81,78,0,3,W,3,Mackey Arena,Indiana,IN
559,20,Thursday,January,27,2022,REG,2,Iowa,,Big Ten,1,83,73,0,10,W,2,Carver-Hawkeye Arena,Iowa,IA
558,19,Sunday,January,23,2022,REG,1,Northwestern,,Big Ten,1,80,60,0,20,W,1,Mackey Arena,Indiana,IN
557,18,Thursday,January,20,2022,REG,2,Indiana,,Big Ten,0,65,68,0,-3,L,1,Assembly Hall,Indiana,IN
556,17,Monday,January,17,2022,REG,2,Illinois,17,Big Ten,1,96,88,2,8,W,3,State Farm Center,Illinois,IL
555,16,Friday,January,14,2022,REG,1,Nebraska,,Big Ten,1,92,65,0,27,W,2,Mackey Arena,Indiana,IN
554,15,Saturday,January,8,2022,REG,2,Penn State,,Big Ten,1,74,67,0,7,W,1,Bryce Jordan Center,Pennsylvania,PA
553,14,Monday,January,3,2022,REG,1,Wisconsin,23,Big Ten,0,69,74,0,-5,L,1,Mackey Arena,Indiana,IN
552,13,Wednesday,December,29,2021,REG,1,Nicholls State,,Southland,1,104,90,0,14,W,4,Mackey Arena,Indiana,IN
551,12,Monday,December,20,2021,REG,1,Incarnate Word,,Southland,1,79,59,0,20,W,3,Mackey Arena,Indiana,IN
550,11,Saturday,December,18,2021,REG,3,Butler,,Big East,1,77,48,0,29,W,2,Gainbridge Fieldhouse,Indiana,IN
549,10,Sunday,December,12,2021,REG,3,NC State,,ACC,1,82,72,1,10,W,1,Barclays Center,New York,NY
548,9,Thursday,December,9,2021,REG,2,Rutgers,,Big Ten,0,68,70,0,-2,L,1,Jersey Mike''s Arena,New Jersey,NJ
547,8,Friday,December,3,2021,REG,1,Iowa,,Big Ten,1,77,70,0,7,W,8,Mackey Arena,Indiana,IN
546,7,Tuesday,November,30,2021,REG,1,Florida State,,ACC,1,93,65,0,28,W,7,Mackey Arena,Indiana,IN
545,6,Friday,November,26,2021,REG,1,Omaha,,Summit,1,97,40,0,57,W,6,Mackey Arena,Indiana,IN
544,5,Sunday,November,21,2021,REG,3,Villanova,5,Big East,1,80,74,0,6,W,5,Mohegan Sun Arena,Connecticut,CT
543,4,Saturday,November,20,2021,REG,3,North Carolina,18,ACC,1,93,84,0,9,W,4,Mohegan Sun Arena,Connecticut,CT
542,3,Tuesday,November,16,2021,REG,1,Wright State,,Horizon,1,96,52,0,44,W,3,Mackey Arena,Indiana,IN
541,2,Friday,November,12,2021,REG,1,Indiana State,,MVC,1,92,67,0,25,W,2,Mackey Arena,Indiana,IN
540,1,Tuesday,November,9,2021,REG,1,Bellarmine,,A-Sun,1,96,67,0,29,W,1,Mackey Arena,Indiana,IN
539,28,Friday,March,19,2021,NCAA,3,North Texas,,CUSA,0,69,78,1,-9,L,2,Lucas Oil Stadium,Indiana,IN
538,27,Friday,March,12,2021,CTOURN,3,Ohio State,9,Big Ten,0,78,87,1,-9,L,1,Lucas Oil Stadium,Indiana,IN
537,26,Saturday,March,6,2021,REG,1,Indiana,,Big Ten,1,67,58,0,9,W,5,Mackey Arena,Indiana,IN
536,25,Tuesday,March,2,2021,REG,1,Wisconsin,25,Big Ten,1,73,69,0,4,W,4,Mackey Arena,Indiana,IN
535,24,Friday,February,26,2021,REG,2,Penn State,,Big Ten,1,73,52,0,21,W,3,Bryce Jordan Center,Pennsylvania,PA
534,23,Saturday,February,20,2021,REG,2,Nebraska,,Big Ten,1,75,58,0,17,W,2,Pinnacle Bank Arena,Nebraska,NE
533,22,Tuesday,February,16,2021,REG,1,Michigan State,,Big Ten,1,75,65,0,10,W,1,Mackey Arena,Indiana,IN
532,21,Thursday,February,11,2021,REG,2,Minnesota,,Big Ten,0,68,71,0,-3,L,1,Williams Arena,Minnesota,MN
531,20,Saturday,February,6,2021,REG,1,Northwestern,,Big Ten,1,75,70,0,5,W,1,Mackey Arena,Indiana,IN
530,19,Tuesday,February,2,2021,REG,2,Maryland,,Big Ten,0,60,61,0,-1,L,1,Xfinity Center,Maryland,MD
529,18,Saturday,January,30,2021,REG,1,Minnesota,21,Big Ten,1,81,62,0,19,W,1,Mackey Arena,Indiana,IN
528,17,Friday,January,22,2021,REG,1,Michigan,7,Big Ten,0,53,70,0,-17,L,1,Mackey Arena,Indiana,IN
527,16,Tuesday,January,19,2021,REG,2,Ohio State,15,Big Ten,1,67,65,0,2,W,4,Value City Arena,Ohio,OH
526,15,Sunday,January,17,2021,REG,1,Penn State,,Big Ten,1,80,72,0,8,W,3,Mackey Arena,Indiana,IN
525,14,Thursday,January,14,2021,REG,2,Indiana,,Big Ten,1,81,69,0,12,W,2,Assembly Hall,Indiana,IN
524,13,Friday,January,8,2021,REG,2,Michigan State,23,Big Ten,1,55,54,0,1,W,1,Breslin Student Events Center,Michigan,MI
523,12,Saturday,January,2,2021,REG,2,Illinois,15,Big Ten,0,58,66,0,-8,L,2,State Farm Center,Illinois,IL
522,11,Tuesday,December,29,2020,REG,2,Rutgers,14,Big Ten,0,76,81,0,-5,L,1,Jersey Mike''s Arena,New Jersey,NJ
521,10,Friday,December,25,2020,REG,1,Maryland,,Big Ten,1,73,70,0,3,W,1,Mackey Arena,Indiana,IN
520,9,Tuesday,December,22,2020,REG,2,Iowa,4,Big Ten,0,55,70,0,-15,L,1,Carver-Hawkeye Arena,Iowa,IA
519,8,Saturday,December,19,2020,REG,3,Notre Dame,,ACC,1,88,78,0,10,W,3,Gainbridge Fieldhouse,Indiana,IN
518,7,Wednesday,December,16,2020,REG,1,Ohio State,20,Big Ten,1,67,60,0,7,W,2,Mackey Arena,Indiana,IN
517,6,Saturday,December,12,2020,REG,1,Indiana State,,MVC,1,80,68,0,12,W,1,Mackey Arena,Indiana,IN
516,5,Tuesday,December,8,2020,REG,2,Miami (FL),,ACC,0,54,58,0,-4,L,1,BankUnited Center,Florida,FL
515,4,Friday,December,4,2020,REG,1,Valparaiso,,MVC,1,68,61,0,7,W,2,Mackey Arena,Indiana,IN
514,3,Tuesday,December,1,2020,REG,1,Oakland,,Horizon,1,93,50,0,43,W,1,Mackey Arena,Indiana,IN
513,2,Thursday,November,26,2020,REG,3,Clemson,,ACC,0,70,81,0,-11,L,1,Titan Field House,Florida,FL
512,1,Wednesday,November,25,2020,REG,3,Liberty,,A-Sun,1,77,64,0,13,W,1,Titan Field House,Florida,FL
511,31,Saturday,March,7,2020,REG,1,Rutgers,,Big Ten,0,68,71,1,-3,L,1,Mackey Arena,Indiana,IN
510,30,Tuesday,March,3,2020,REG,2,Iowa,18,Big Ten,1,77,68,0,9,W,2,Carver-Hawkeye Arena,Iowa,IA
509,29,Thursday,February,27,2020,REG,1,Indiana,,Big Ten,1,57,49,0,8,W,1,Mackey Arena,Indiana,IN
508,28,Saturday,February,22,2020,REG,1,Michigan,,Big Ten,0,63,71,0,-8,L,4,Mackey Arena,Indiana,IN
507,27,Tuesday,February,18,2020,REG,2,Wisconsin,,Big Ten,0,65,69,0,-4,L,3,Kohl Center,Wisconsin,WI
506,26,Saturday,February,15,2020,REG,2,Ohio State,,Big Ten,0,52,68,0,-16,L,2,Value City Arena,Ohio,OH
505,25,Tuesday,February,11,2020,REG,1,Penn State,13,Big Ten,0,76,88,0,-12,L,1,Mackey Arena,Indiana,IN
504,24,Saturday,February,8,2020,REG,2,Indiana,,Big Ten,1,74,62,0,12,W,3,Assembly Hall,Indiana,IN
503,23,Wednesday,February,5,2020,REG,1,Iowa,17,Big Ten,1,104,68,0,36,W,2,Mackey Arena,Indiana,IN
502,22,Saturday,February,1,2020,REG,2,Northwestern,,Big Ten,1,61,58,0,3,W,1,Welsh-Ryan Arena,Illinois,IL
501,21,Tuesday,January,28,2020,REG,2,Rutgers,25,Big Ten,0,63,70,0,-7,L,1,Jersey Mike''s Arena,New Jersey,NJ
500,20,Friday,January,24,2020,REG,1,Wisconsin,,Big Ten,1,70,51,0,19,W,1,Mackey Arena,Indiana,IN
499,19,Tuesday,January,21,2020,REG,1,Illinois,21,Big Ten,0,62,79,0,-17,L,2,Mackey Arena,Indiana,IN
498,18,Saturday,January,18,2020,REG,2,Maryland,17,Big Ten,0,50,57,0,-7,L,1,Xfinity Center,Maryland,MD
497,17,Sunday,January,12,2020,REG,1,Michigan State,8,Big Ten,1,71,42,0,29,W,1,Mackey Arena,Indiana,IN
496,16,Thursday,January,9,2020,REG,2,Michigan,19,Big Ten,0,78,84,2,-6,L,2,Crisler Arena,Michigan,MI
495,15,Sunday,January,5,2020,REG,2,Illinois,,Big Ten,0,37,63,0,-26,L,1,State Farm Center,Illinois,IL
494,14,Thursday,January,2,2020,REG,1,Minnesota,,Big Ten,1,83,78,2,5,W,2,Mackey Arena,Indiana,IN
493,13,Saturday,December,28,2019,REG,1,Central Michigan,,MAC,1,97,62,0,35,W,1,Mackey Arena,Indiana,IN
492,12,Saturday,December,21,2019,REG,3,Butler,17,Big East,0,61,70,0,-9,L,1,Gainbridge Fieldhouse,Indiana,IN
491,11,Tuesday,December,17,2019,REG,2,Ohio,,MAC,1,69,51,0,18,W,1,Convocation Center,Ohio,OH
490,10,Sunday,December,15,2019,REG,2,Nebraska,,Big Ten,0,56,70,0,-14,L,1,Pinnacle Bank Arena,Nebraska,NE
489,9,Sunday,December,8,2019,REG,1,Northwestern,,Big Ten,1,58,44,0,14,W,2,Mackey Arena,Indiana,IN
488,8,Wednesday,December,4,2019,REG,1,Virginia,5,ACC,1,69,40,0,29,W,1,Mackey Arena,Indiana,IN
487,7,Saturday,November,30,2019,REG,3,Florida State,,ACC,0,60,63,1,-3,L,1,The Arena at Northwest Florida State College,Florida,FL
486,6,Friday,November,29,2019,REG,3,Virginia Commonwealth,20,A-10,1,59,56,0,3,W,3,The Arena at Northwest Florida State College,Florida,FL
485,5,Saturday,November,23,2019,REG,1,Jacksonville State,,OVC,1,81,49,0,32,W,2,Mackey Arena,Indiana,IN
484,4,Saturday,November,16,2019,REG,1,Chicago State,,WAC,1,93,49,0,44,W,1,Mackey Arena,Indiana,IN
483,3,Wednesday,November,13,2019,REG,2,Marquette,,Big East,0,55,65,0,-10,L,2,Fiserv Forum,Wisconsin,WI
482,2,Saturday,November,9,2019,REG,1,Texas,,Big 12,0,66,70,0,-4,L,1,Mackey Arena,Indiana,IN
481,1,Wednesday,November,6,2019,REG,1,Green Bay,,Horizon,1,79,57,0,22,W,1,Mackey Arena,Indiana,IN
480,36,Saturday,March,30,2019,NCAA,3,Virginia,2,ACC,0,75,80,1,-5,L,1,KFC Yum! Center,Kentucky,KY
479,35,Thursday,March,28,2019,NCAA,3,Tennessee,6,SEC,1,99,94,1,5,W,3,KFC Yum! Center,Kentucky,KY
478,34,Saturday,March,23,2019,NCAA,3,Villanova,23,Big East,1,87,61,0,26,W,2,XL Center,Connecticut,CT
477,33,Thursday,March,21,2019,NCAA,3,Old Dominion,,CUSA,1,61,48,0,13,W,1,XL Center,Connecticut,CT
476,32,Friday,March,15,2019,CTOURN,3,Minnesota,,Big Ten,0,73,75,0,-2,L,1,United Center,Illinois,IL
475,31,Saturday,March,9,2019,REG,2,Northwestern,,Big Ten,1,70,57,0,13,W,1,Welsh-Ryan Arena,Illinois,IL
474,30,Tuesday,March,5,2019,REG,2,Minnesota,,Big Ten,0,69,73,0,-4,L,1,Williams Arena,Minnesota,MN
473,29,Saturday,March,2,2019,REG,1,Ohio State,,Big Ten,1,86,51,0,35,W,5,Mackey Arena,Indiana,IN
472,28,Wednesday,February,27,2019,REG,1,Illinois,,Big Ten,1,73,56,0,17,W,4,Mackey Arena,Indiana,IN
471,27,Saturday,February,23,2019,REG,2,Nebraska,,Big Ten,1,75,72,0,3,W,3,Pinnacle Bank Arena,Nebraska,NE
470,26,Tuesday,February,19,2019,REG,2,Indiana,,Big Ten,1,48,46,0,2,W,2,Assembly Hall,Indiana,IN
469,25,Saturday,February,16,2019,REG,1,Penn State,,Big Ten,1,76,64,0,12,W,1,Mackey Arena,Indiana,IN
468,24,Tuesday,February,12,2019,REG,2,Maryland,24,Big Ten,0,56,70,0,-14,L,1,Xfinity Center,Maryland,MD
467,23,Saturday,February,9,2019,REG,1,Nebraska,,Big Ten,1,81,62,0,19,W,8,Mackey Arena,Indiana,IN
466,22,Sunday,February,3,2019,REG,1,Minnesota,,Big Ten,1,73,63,0,10,W,7,Mackey Arena,Indiana,IN
465,21,Thursday,January,31,2019,REG,2,Penn State,,Big Ten,1,99,90,1,9,W,6,Bryce Jordan Center,Pennsylvania,PA
464,20,Sunday,January,27,2019,REG,1,Michigan State,6,Big Ten,1,73,63,0,10,W,5,Mackey Arena,Indiana,IN
463,19,Wednesday,January,23,2019,REG,2,Ohio State,,Big Ten,1,79,67,0,12,W,4,Value City Arena,Ohio,OH
462,18,Saturday,January,19,2019,REG,1,Indiana,25,Big Ten,1,70,55,0,15,W,3,Mackey Arena,Indiana,IN
461,17,Tuesday,January,15,2019,REG,1,Rutgers,,Big Ten,1,89,54,0,35,W,2,Mackey Arena,Indiana,IN
460,16,Friday,January,11,2019,REG,2,Wisconsin,,Big Ten,1,84,80,1,4,W,1,Kohl Center,Wisconsin,WI
459,15,Tuesday,January,8,2019,REG,2,Michigan State,6,Big Ten,0,59,77,0,-18,L,1,Breslin Student Events Center,Michigan,MI
458,14,Thursday,January,3,2019,REG,1,Iowa,25,Big Ten,1,86,70,0,16,W,3,Mackey Arena,Indiana,IN
457,13,Saturday,December,29,2018,REG,1,Belmont,,OVC,1,73,62,0,11,W,2,Mackey Arena,Indiana,IN
456,12,Thursday,December,20,2018,REG,1,Ohio,,MAC,1,95,67,0,28,W,1,Mackey Arena,Indiana,IN
455,11,Saturday,December,15,2018,REG,3,Notre Dame,,ACC,0,80,88,0,-8,L,2,Gainbridge Fieldhouse,Indiana,IN
454,10,Sunday,December,9,2018,REG,2,Texas,,Big 12,0,68,72,0,-4,L,1,Frank Erwin Center,Texas,TX
453,9,Thursday,December,6,2018,REG,1,Maryland,23,Big Ten,1,62,60,0,2,W,1,Mackey Arena,Indiana,IN
452,8,Saturday,December,1,2018,REG,2,Michigan,7,Big Ten,0,57,76,0,-19,L,2,Crisler Arena,Michigan,MI
451,7,Wednesday,November,28,2018,REG,2,Florida State,15,ACC,0,72,73,0,-1,L,1,Donald L. Tucker Civic Center,Flordia,FL
450,6,Friday,November,23,2018,REG,1,Robert Morris,,NEC,1,84,46,0,38,W,1,Mackey Arena,Indiana,IN
449,5,Sunday,November,18,2018,REG,3,Virginia Tech,16,ACC,0,83,89,0,-6,L,1,TD Arena,South Carolina,SC
448,4,Friday,November,16,2018,REG,3,Davidson,,A-10,1,79,58,0,21,W,4,TD Arena,South Carolina,SC
447,3,Thursday,November,15,2018,REG,3,Appalachian State,,Sun Belt,1,92,70,0,22,W,3,TD Arena,South Carolina,SC
446,2,Saturday,November,10,2018,REG,1,Ball State,,MAC,1,84,75,0,9,W,2,Mackey Arena,Indiana,IN
445,1,Tuesday,November,6,2018,REG,1,Fairfield,,MAAC,1,90,57,0,33,W,1,Mackey Arena,Indiana,IN
444,37,Friday,March,23,2018,NCAA,3,Texas Tech,14,Big 12,0,65,78,0,-13,L,1,TD Garden,Massachusetts,MA
443,36,Sunday,March,18,2018,NCAA,3,Butler,,Big East,1,76,73,0,3,W,2,Little Caesars Arena,Michigan,MI
442,35,Friday,March,16,2018,NCAA,3,Cal State Fullerton,,Big West,1,74,48,0,26,W,1,Little Caesars Arena,Michigan,MI
441,34,Sunday,March,4,2018,CTOURN,3,Michigan,15,Big Ten,0,66,75,0,-9,L,1,Madison Square Garden (IV),New York,NY
440,33,Saturday,March,3,2018,CTOURN,3,Penn State,,Big Ten,1,78,70,0,8,W,5,Madison Square Garden (IV),New York,NY
439,32,Friday,March,2,2018,CTOURN,3,Rutgers,,Big Ten,1,82,75,0,7,W,4,Madison Square Garden (IV),New York,NY
438,31,Sunday,February,25,2018,REG,1,Minnesota,,Big Ten,1,84,60,0,24,W,3,Mackey Arena,Indiana,IN
437,30,Thursday,February,22,2018,REG,2,Illinois,,Big Ten,1,93,86,0,7,W,2,State Farm Center,Illinois,IL
436,29,Sunday,February,18,2018,REG,1,Penn State,,Big Ten,1,76,73,0,3,W,1,Mackey Arena,Indiana,IN
435,28,Thursday,February,15,2018,REG,2,Wisconsin,,Big Ten,0,53,57,0,-4,L,3,Kohl Center,Wisconsin,WI
434,27,Saturday,February,10,2018,REG,2,Michigan State,4,Big Ten,0,65,68,0,-3,L,2,Breslin Student Events Center,Michigan,MI
433,26,Wednesday,February,7,2018,REG,1,Ohio State,14,Big Ten,0,63,64,0,-1,L,1,Mackey Arena,Indiana,IN
432,25,Saturday,February,3,2018,REG,2,Rutgers,,Big Ten,1,78,76,0,2,W,19,Jersey Mike''s Arena,New Jersey,NJ
431,24,Wednesday,January,31,2018,REG,1,Maryland,,Big Ten,1,75,67,0,8,W,18,Mackey Arena,Indiana,IN
430,23,Sunday,January,28,2018,REG,2,Indiana,,Big Ten,1,74,67,0,7,W,17,Assembly Hall,Indiana,IN
429,22,Thursday,January,25,2018,REG,1,Michigan,25,Big Ten,1,92,88,0,4,W,16,Mackey Arena,Indiana,IN
428,21,Saturday,January,20,2018,REG,2,Iowa,,Big Ten,1,87,64,0,23,W,15,Carver-Hawkeye Arena,Iowa,IA
427,20,Tuesday,January,16,2018,REG,1,Wisconsin,,Big Ten,1,78,50,0,28,W,14,Mackey Arena,Indiana,IN
426,19,Saturday,January,13,2018,REG,2,Minnesota,,Big Ten,1,81,47,0,34,W,13,Williams Arena,Minnesota,MN
425,18,Tuesday,January,9,2018,REG,2,Michigan,,Big Ten,1,70,69,0,1,W,12,Crisler Arena,Michigan,MI
424,17,Saturday,January,6,2018,REG,1,Nebraska,,Big Ten,1,74,62,0,12,W,11,Mackey Arena,Indiana,IN
423,16,Wednesday,January,3,2018,REG,1,Rutgers,,Big Ten,1,82,51,0,31,W,10,Mackey Arena,Indiana,IN
422,15,Saturday,December,30,2017,REG,1,Lipscomb,,A-Sun,1,98,66,0,32,W,9,Mackey Arena,Indiana,IN
421,14,Thursday,December,21,2017,REG,1,Tennessee State,,OVC,1,97,48,0,49,W,8,Mackey Arena,Indiana,IN
420,13,Saturday,December,16,2017,REG,3,Butler,,Big East,1,82,67,0,15,W,7,Gainbridge Fieldhouse,Indiana,IN
419,12,Sunday,December,10,2017,REG,1,IUPUI,,Horizon,1,86,61,0,25,W,6,Mackey Arena,Indiana,IN
418,11,Thursday,December,7,2017,REG,1,Valparaiso,,MVC,1,80,50,0,30,W,5,Mackey Arena,Indiana,IN
417,10,Sunday,December,3,2017,REG,1,Northwestern,,Big Ten,1,74,69,0,5,W,4,Mackey Arena,Indiana,IN
416,9,Friday,December,1,2017,REG,2,Maryland,,Big Ten,1,80,75,0,5,W,3,Xfinity Center,Maryland,MD
415,8,Tuesday,November,28,2017,REG,1,Louisville,17,ACC,1,66,57,0,9,W,2,Mackey Arena,Indiana,IN
414,7,Friday,November,24,2017,REG,3,Arizona,2,Pac-12,1,89,64,0,25,W,1,Imperial Arena at Atlantis Resort,Bahamas,BA
413,6,Thursday,November,23,2017,REG,3,Western Kentucky,,CUSA,0,73,77,0,-4,L,2,Imperial Arena at Atlantis Resort,Bahamas,BA
412,5,Wednesday,November,22,2017,REG,3,Tennessee,,SEC,0,75,78,1,-3,L,1,Imperial Arena at Atlantis Resort,Bahamas,BA
411,4,Saturday,November,18,2017,REG,1,Fairfield,,MAAC,1,106,64,0,42,W,4,Mackey Arena,Indiana,IN
410,3,Tuesday,November,14,2017,REG,2,Marquette,,Big East,1,86,71,0,15,W,3,BMO Harris Bradley Center,Wisconsin,WI
409,2,Sunday,November,12,2017,REG,1,Chicago State,,WAC,1,111,42,0,69,W,2,Mackey Arena,Indiana,IN
408,1,Friday,November,10,2017,REG,1,Southern Illinois-Edwardsville,,OVC,1,105,74,0,31,W,1,Mackey Arena,Indiana,IN
407,35,Thursday,March,23,2017,NCAA,3,Kansas,3,Big 12,0,66,98,0,-32,L,1,Sprint Center,Missouri,MO
406,34,Saturday,March,18,2017,NCAA,3,Iowa State,16,Big 12,1,80,76,0,4,W,2,BMO Harris Bradley Center,Wisconsin,WI
405,33,Thursday,March,16,2017,NCAA,3,Vermont,,AEC,1,80,70,0,10,W,1,BMO Harris Bradley Center,Wisconsin,WI
404,32,Friday,March,10,2017,CTOURN,3,Michigan,,Big Ten,0,70,74,1,-4,L,1,Verizon Center,Washington DC,DC
403,31,Sunday,March,5,2017,REG,2,Northwestern,,Big Ten,1,69,65,0,4,W,2,Welsh-Ryan Arena,Illinois,IL
402,30,Tuesday,February,28,2017,REG,1,Indiana,,Big Ten,1,86,75,0,11,W,1,Mackey Arena,Indiana,IN
401,29,Saturday,February,25,2017,REG,2,Michigan,,Big Ten,0,70,82,0,-12,L,1,Crisler Arena,Michigan,MI
400,28,Tuesday,February,21,2017,REG,2,Penn State,,Big Ten,1,74,70,1,4,W,6,Bryce Jordan Center,Pennsylvania,PA
399,27,Saturday,February,18,2017,REG,1,Michigan State,,Big Ten,1,80,63,0,17,W,5,Mackey Arena,Indiana,IN
398,26,Tuesday,February,14,2017,REG,1,Rutgers,,Big Ten,1,74,55,0,19,W,4,Mackey Arena,Indiana,IN
397,25,Thursday,February,9,2017,REG,2,Indiana,,Big Ten,1,69,64,0,5,W,3,Assembly Hall,Indiana,IN
